cleaned_data,,,,,,,,,,,,,
Response ID,Job Experience,Time Spent Remote,Company encouraged remote work,WFH collaboration ease,WFH personal recommendation,WFH time preference,In person - commute time ,In person - time working,In person - family time,Remote - commute time,WFH - working,WFH - family time,WFH - domestic work time
2,More than 5 years,20,4,4,4,20,2,7,3,0,7,3,3
3,More than 5 years,60,4,3,3,60,6,1,6,5,2,7,7
4,Between 1 and 5 years,20,1,4,4,100,1,9,1,0,9,3,2
5,More than 5 years,5,1,5,4,60,1,8,13,0,6,15,3
6,Between 1 and 5 years,5,4,5,5,50,1,8,2,0,7,3,3
8,Between 6 and 12 months,80,5,4,4,80,1,8,4,0.4,6,4,6
9,More than 5 years,60,5,4,4,20,0,8,12,0,8,13,1
13,Between 6 and 12 months,100,4,4,4,50,2,8,1,0,9,2,1
14,Between 1 and 5 years,40,3,4,4,80,1,12,4,0,13,5,1
15,More than 5 years,40,3,4,4,50,1,5,3,0.5,5,4,2
18,Between 1 and 5 years,5,5,2,1,40,3,10,2,1,12,2,2
19,Between 6 and 12 months,50,5,5,5,50,0.5,4,8,0,5,8,0.5
20,More than 5 years,40,1,4,4,40,2,8,1,0.5,8,1.5,3
21,More than 5 years,20,4,4,4,90,3,8,2,0.5,8,4,3
23,Between 1 and 5 years,80,3,3,5,50,1.5,7.5,4,1,7.5,2,2
24,More than 5 years,30,3,3,4,50,2,8,10,0,8,12,4
25,More than 5 years,10,3,3,5,70,3,10,3,1,11,5,2
26,More than 5 years,5,1,1,4,5,2,10,10,0,10,10,4
27,More than 5 years,5,2,2,3,40,2,6,0.5,0,8,1,0
29,Between 1 and 5 years,40,3,4,3,30,1,8,5,1,8,6,6
30,More than 5 years,50,5,4,5,60,2,8,4,0,8,5,1
31,More than 5 years,10,5,4,5,60,1,8.5,3,0,9.5,4,3
32,More than 5 years,50,5,5,5,80,4,8.5,3.5,0,9.5,3.5,1
33,Between 6 and 12 months,90,5,2,2,30,2,8,8,1,10,5,8
34,Between 6 and 12 months,20,1,4,3,50,1,6,2,1,8,2,1
35,More than 5 years,5,5,4,4,60,0.5,8,3,0,8,4,4
37,More than 5 years,40,4,5,4,50,1,10,2,0,12,2,3
39,Between 6 and 12 months,60,4,4,4,40,3,8,4,1,9,5,1
40,More than 5 years,20,4,4,4,50,1,8,4,0.2,9,4,2
42,Between 6 and 12 months,60,5,4,4,50,2,8.5,4,0.5,9,5,2
43,Between 6 and 12 months,90,2,3,5,80,4,8,2,0,10,2,1
44,Between 1 and 5 years,10,2,2,5,40,2,7,11,0,8,12,4
45,More than 5 years,10,2,2,2,50,1,8,5,0.5,8,8,2
46,More than 5 years,30,3,4,4,30,1,8,4,0.5,6,6,2
49,More than 5 years,5,2,3,4,40,2.5,8.5,3,0.5,9,4,2
51,More than 5 years,30,4,3,4,70,2,8,11,0,12,7,3
52,More than 5 years,30,3,4,4,60,0.1,6,6,0,7,6,3
53,Between 1 and 5 years,10,2,5,4,20,2,8,1,0.5,10,2,1
54,More than 5 years,50,2,3,3,50,0.5,3,17.5,0,2,18,4
55,More than 5 years,10,4,2,3,60,1.5,10,11,0,10,10,4
57,More than 5 years,30,4,4,3,50,1,8,3,0,8,3,3
59,Between 1 and 5 years,5,4,2,3,50,1.5,6,5,0.5,6,7,3
60,More than 5 years,70,5,5,5,100,1,8,4,0,9,4,5
61,More than 5 years,5,2,2,2,90,3,9,2,0.5,10,3,2
63,Between 1 and 5 years,10,3,2,3,50,2.5,9,3,1,9,3,2
64,More than 5 years,100,5,4,4,20,1,3,18,1,6,15,2
65,More than 5 years,5,1,4,2,30,3,9,2,1,10,2,1.5
67,More than 5 years,70,5,4,4,70,2,8,10,0,8,10,6
68,More than 5 years,60,3,4,2,50,1,9,4,0.5,6,6,4
71,More than 5 years,100,5,5,4,80,0.5,8,2,0,9,2,2
72,Between 1 and 5 years,30,1,2,4,50,3,7.5,5.5,0,8,8,2
73,More than 5 years,60,5,5,5,90,3,8,3,1,9,4,2
74,More than 5 years,10,2,4,4,50,2.5,8,2,0.5,9,3,5
75,More than 5 years,90,2,4,4,60,3,8,1,0,6,6,4
76,More than 5 years,50,3,4,4,80,1.5,7.5,5,0,7.5,7,0.5
77,Between 1 and 5 years,40,3,3,4,40,3,6,4,2,7,3,1
78,More than 5 years,30,4,4,4,90,3,2,1,0,5,1,1
79,More than 5 years,5,3,4,2,50,3,7,1,0.5,7,3,4
80,More than 5 years,30,5,5,5,90,1,10,1,0,11,2,1
81,More than 5 years,30,1,5,4,40,3,6,5,0.5,5,8,4
82,More than 5 years,50,3,4,2,100,2.5,10,2,0.5,2.5,2,3
83,Between 1 and 5 years,5,2,2,3,60,1,7,15,0.5,7,15.5,1
84,More than 5 years,5,3,3,4,70,3.5,7.6,2,0,7.6,4.5,4
85,Between 1 and 5 years,20,2,5,4,70,6,7,2,1,8,4,4
86,Between 6 and 12 months,30,3,2,1,30,1,10,4,0,10,5,2
87,Between 1 and 5 years,5,1,2,2,100,0.2,14,3,0,12,3,2
89,More than 5 years,30,4,4,5,80,2.5,7,3,0.5,8,4,2
90,More than 5 years,30,3,4,4,60,1,1,2,0,6,3,3
91,More than 5 years,100,4,4,4,100,1,1,1,1,1,1,1
92,More than 5 years,5,4,4,3,50,3,8,2,0,9,4,3
93,Between 1 and 5 years,10,1,4,3,20,1.5,8,4,0.5,8,4,1
96,Between 1 and 5 years,50,4,5,5,50,2.5,8,4,0,8,8,2
97,Between 6 and 12 months,100,5,5,5,100,1,8,4,0,10,2,1
99,More than 5 years,5,1,4,3,10,1.5,9,5,0,9,5,2
100,More than 5 years,5,4,4,4,90,2,8,4,0.5,8,4,0
102,More than 5 years,60,5,5,5,100,1,8,4,0,6,6,2
103,More than 5 years,10,4,5,5,80,1,5,18,2,8,14,0
104,More than 5 years,90,3,5,3,80,2,7,4,0,7,5.5,1.5
105,More than 5 years,5,2,4,3,20,2,6,1,0.5,7,2,2
106,More than 5 years,70,5,5,4,40,1,8,4,0,9,4,3
107,More than 5 years,60,3,4,4,70,3,9,3,0.5,9,4,3
108,More than 5 years,80,3,4,3,50,5,8,2,1,8,4,3
109,Between 6 and 12 months,5,1,3,4,70,1,6,3,0.5,8,3,3
112,Between 6 and 12 months,20,4,4,4,40,0.75,8,4,0,9,5,1
113,More than 5 years,20,4,4,4,40,1.5,9,3,0.5,9,3,4
114,Between 1 and 5 years,10,1,3,5,50,1,8,3,0,9,3,2
115,More than 5 years,50,4,5,5,100,3,9,3,0.5,9,3,2
116,Between 1 and 5 years,60,4,5,5,60,3,8,2,1,8,4,1
118,More than 5 years,10,2,4,3,40,2,7,4,0.5,7,6,1
119,More than 5 years,20,5,5,4,40,0.1,8,8,0.1,8,8,7.9
120,More than 5 years,50,5,4,5,90,2,6,6,0,9,6,2
121,More than 5 years,10,3,3,4,90,2,8,4,1,8,4,1
122,More than 5 years,5,3,3,4,20,0.5,7.5,4,0.5,8,3,2.5
123,More than 5 years,5,1,4,3,50,2,8.5,3,0.5,10,3,1.5
124,More than 5 years,30,4,4,4,30,1,10,3,1,10,4,2
126,Between 1 and 5 years,60,4,5,4,70,2,8,3,0.5,8,4,3
127,More than 5 years,5,5,5,5,5,0.2,3,4,0.2,3,5,5
128,Between 1 and 5 years,5,3,3,3,50,3,9,2,0,9,2,3
129,More than 5 years,50,4,4,5,90,2,8,3,0,8,5,4
130,Between 1 and 5 years,90,5,5,5,80,1.5,4,2,0.2,4,4,5
131,Between 1 and 5 years,90,5,4,4,50,2,7,13,0.5,8,12.5,3
132,More than 5 years,30,4,5,4,50,1,7.5,3,1,7.5,5,3
133,More than 5 years,5,1,4,4,40,4,8,2,0.5,9,2,5
134,Between 1 and 5 years,30,3,4,4,40,1,8,2,0,8,2,1
135,More than 5 years,10,2,4,5,50,2,8,4,0.5,8,8,4
136,More than 5 years,10,3,4,4,60,1,8,1,0,9,1,1
138,More than 5 years,5,3,4,3,20,1,8,2,0,8,3,2
141,Between 1 and 5 years,20,4,5,5,80,3,8,4,0.5,9,5.5,1
142,More than 5 years,100,3,5,3,100,1,8,2,0,8,8,3
143,Between 1 and 5 years,5,3,4,4,30,1.5,5.5,3.5,0.05,6,3.5,5.5
144,Between 1 and 5 years,20,3,4,4,100,2,8,3,0.2,8,5,3
145,Between 1 and 5 years,5,3,5,4,20,0.75,4.5,2.5,0.5,6,2,1.5
146,Between 1 and 5 years,100,1,4,5,100,2,6,0.5,0,8,2,1
147,More than 5 years,100,2,3,1,50,1,2,2,1,1,1,1
148,More than 5 years,50,1,2,2,50,2,8,4,2,8,4,2
151,More than 5 years,40,5,5,5,50,3,7,2,0,8,4,4
152,Between 1 and 5 years,80,3,4,5,100,1,8,6,0,14,2,2
155,Between 1 and 5 years,10,1,4,4,40,3,8,2,1,8,2,3
156,Between 1 and 5 years,30,3,4,4,30,2.5,5,4,0.5,7,8,3
159,Between 1 and 5 years,50,5,3,3,50,1,7,5,1,3,6,1
160,Between 1 and 5 years,50,3,3,4,50,2,7,4,0,8,9,7
162,More than 5 years,20,4,4,4,20,1,8,2,1,8,2,2
163,Between 1 and 5 years,40,4,5,5,100,1,8,1,0,8,2,3
164,Between 1 and 5 years,5,3,3,3,100,5,5,5,5,5,5,5
165,Between 1 and 5 years,50,4,4,4,50,2,8,3,1,7,3,1
166,More than 5 years,10,2,4,4,50,1,6,3,0,7,4,4
168,More than 5 years,60,5,5,5,80,1,5,2,0,8,4,2
170,Between 1 and 5 years,20,2,3,4,80,3.5,8,4,0,9,5,0
171,Between 1 and 5 years,50,4,4,5,80,1,8,2,0,4,6,2
173,Between 1 and 5 years,10,2,4,5,50,1,9,2,0,8,3,2
174,Between 1 and 5 years,5,1,3,3,50,3.5,7,2,0,8,8,1
176,More than 5 years,5,3,4,5,100,0.5,6,0,0,3,0,0
177,Between 6 and 12 months,70,3,3,4,60,1,8,6,0.5,6,8,5
179,More than 5 years,50,5,5,4,100,3,8,8,3,8,8,5
180,More than 5 years,60,2,5,5,100,3.5,8,5,0,6.5,9.5,8
181,More than 5 years,10,3,3,3,50,0.5,4,4,0.5,2,6,4
183,Between 1 and 5 years,100,5,5,5,100,2,8,7,2,9,7,6
186,Between 1 and 5 years,60,3,4,5,100,2,8,2,2,7,2,2
190,Between 1 and 5 years,30,5,5,5,70,1,6,0,0.5,7,1,0
193,More than 5 years,50,5,5,5,50,1,2,5,0.5,4,5,1
194,Between 1 and 5 years,5,1,5,5,100,2.5,8.5,10,0,9,10,5
198,Between 1 and 5 years,80,4,4,4,60,0.2,8,0.5,0,8,0,1
200,Between 1 and 5 years,60,3,3,4,20,3.5,1.5,5,1.5,3.5,4,1
203,Between 1 and 5 years,20,4,5,5,50,1,6,0.5,0,5,2,0.5
205,Between 1 and 5 years,40,4,5,5,60,0.5,6,1,0,5,2,2
206,More than 5 years,70,1,4,1,100,1.5,9,2,0.5,9.5,2.5,2.5
207,More than 5 years,30,5,4,4,20,1,9,4,0,9,5,2
210,Between 1 and 5 years,100,5,4,5,100,2,8,5,0,8,10,0
211,Between 1 and 5 years,20,3,4,4,50,2,7,2,0.5,8,3,2
