Response ID,How long have you been in your current job?,"Thinking about your current job, how much of your time did you spend remote working last year?","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely","Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I would recommend remote working to others","Imagine that COVID-19 is cured or eradicated. Going forward, how much of your time would you prefer to work remotely?","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Working","On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Personal and family time","On a day when you do remote work, how many hours would you spend doing the following activities? - Preparing for work and commuting","On a day when you do remote work, how many hours would you spend doing the following activities? - Working","On a day when you do remote work, how many hours would you spend doing the following activities? - Personal and family time","On a day when you do remote work, how many hours would you spend doing the following activities? - Caring and domestic responsibilities"
2,More than 5 years,20,4,4,4,4,4,20.0,2.0,7.0,3.0,0.0,7.0,3.0,3.0
3,More than 5 years,60,4,3,3,4,3,60.0,6.0,1.0,6.0,5.0,2.0,7.0,7.0
4,Between 1 and 5 years,20,1,4,4,5,5,100.0,1.0,9.0,1.0,0.0,9.0,3.0,2.0
5,More than 5 years,5,1,5,4,4,5,60.0,1.0,8.0,13.0,0.0,6.0,15.0,3.0
6,Between 1 and 5 years,5,4,5,5,5,5,50.0,1.0,8.0,2.0,0.0,7.0,3.0,3.0
8,Between 6 and 12 months,80,5,4,4,5,4,80.0,1.0,8.0,4.0,0.4,6.0,4.0,6.0
9,More than 5 years,60,5,4,4,4,4,20.0,0.0,8.0,12.0,0.0,8.0,13.0,1.0
13,Between 6 and 12 months,100,4,4,4,5,5,50.0,2.0,8.0,1.0,0.0,9.0,2.0,1.0
14,Between 1 and 5 years,40,3,4,4,4,4,80.0,1.0,12.0,4.0,0.0,13.0,5.0,1.0
15,More than 5 years,40,3,4,4,4,4,50.0,1.0,5.0,3.0,0.5,5.0,4.0,2.0
18,Between 1 and 5 years,5,5,2,1,2,2,40.0,3.0,10.0,2.0,1.0,12.0,2.0,2.0
19,Between 6 and 12 months,50,5,5,5,5,5,50.0,0.5,4.0,8.0,0.0,5.0,8.0,0.5
20,More than 5 years,40,1,4,4,4,4,40.0,2.0,8.0,1.0,0.5,8.0,1.5,3.0
21,More than 5 years,20,4,4,4,4,4,90.0,3.0,8.0,2.0,0.5,8.0,4.0,3.0
23,Between 1 and 5 years,80,3,3,5,3,5,50.0,1.5,7.5,4.0,1.0,7.5,2.0,2.0
24,More than 5 years,30,3,3,4,4,4,50.0,2.0,8.0,10.0,0.0,8.0,12.0,4.0
25,More than 5 years,10,3,3,5,4,5,70.0,3.0,10.0,3.0,1.0,11.0,5.0,2.0
26,More than 5 years,5,1,1,4,1,3,5.0,2.0,10.0,10.0,0.0,10.0,10.0,4.0
27,More than 5 years,5,2,2,3,4,4,40.0,2.0,6.0,0.5,0.0,8.0,1.0,0.0
29,Between 1 and 5 years,40,3,4,3,3,3,30.0,1.0,8.0,5.0,1.0,8.0,6.0,6.0
30,More than 5 years,50,5,4,5,5,5,60.0,2.0,8.0,4.0,0.0,8.0,5.0,1.0
31,More than 5 years,10,5,4,5,4,5,60.0,1.0,8.5,3.0,0.0,9.5,4.0,3.0
32,More than 5 years,50,5,5,5,5,5,80.0,4.0,8.5,3.5,0.0,9.5,3.5,1.0
33,Between 6 and 12 months,90,5,2,2,1,2,30.0,2.0,8.0,8.0,1.0,10.0,5.0,8.0
34,Between 6 and 12 months,20,1,4,3,4,4,50.0,1.0,6.0,2.0,1.0,8.0,2.0,1.0
35,More than 5 years,5,5,4,4,4,4,60.0,0.5,8.0,3.0,0.0,8.0,4.0,4.0
37,More than 5 years,40,4,5,4,5,4,50.0,1.0,10.0,2.0,0.0,12.0,2.0,3.0
39,Between 6 and 12 months,60,4,4,4,4,4,40.0,3.0,8.0,4.0,1.0,9.0,5.0,1.0
40,More than 5 years,20,4,4,4,5,5,50.0,1.0,8.0,4.0,0.2,9.0,4.0,2.0
42,Between 6 and 12 months,60,5,4,4,4,4,50.0,2.0,8.5,4.0,0.5,9.0,5.0,2.0
43,Between 6 and 12 months,90,2,3,5,5,5,80.0,4.0,8.0,2.0,0.0,10.0,2.0,1.0
44,Between 1 and 5 years,10,2,2,5,2,5,40.0,2.0,7.0,11.0,0.0,8.0,12.0,4.0
45,More than 5 years,10,2,2,2,4,3,50.0,1.0,8.0,5.0,0.5,8.0,8.0,2.0
46,More than 5 years,30,3,4,4,5,4,30.0,1.0,8.0,4.0,0.5,6.0,6.0,2.0
49,More than 5 years,5,2,3,4,4,3,40.0,2.5,8.5,3.0,0.5,9.0,4.0,2.0
51,More than 5 years,30,4,3,4,4,4,70.0,2.0,8.0,11.0,0.0,12.0,7.0,3.0
52,More than 5 years,30,3,4,4,2,5,60.0,0.1,6.0,6.0,0.0,7.0,6.0,3.0
